"project_item_id","issue_url","repository","title","item_type_before","item_type_after","status_before","status_after","sprint","parent_issue","reason"
"PVTI_lADOEWKGsc4BaNxzzgv6__4","","","STORY: Define service naming, ports, and repository conventions","Story","Story","Ready","Ready","Sprint 0 - Platform Foundation and Local SIT","","Establishes a shared platform, CI, governance, configuration, or local-SIT prerequisite required for the Sprint 0 reproducible platform outcome."
"PVTI_lADOEWKGsc4BaNxzzgv7AGw","","","STORY: Create Insomnia workspace with LOCAL-DEV, SIT, UAT, and PROD environments","Story","Story","Backlog","Backlog","Sprint 0 - Platform Foundation and Local SIT","","Establishes a shared platform, CI, governance, configuration, or local-SIT prerequisite required for the Sprint 0 reproducible platform outcome."
"PVTI_lADOEWKGsc4BaNxzzgv7AJI","","","STORY: Document Spring Tools for Eclipse workflow","Story","Story","Ready","Ready","Sprint 0 - Platform Foundation and Local SIT","","Establishes a shared platform, CI, governance, configuration, or local-SIT prerequisite required for the Sprint 0 reproducible platform outcome."
"PVTI_lADOEWKGsc4BaNxzzgv7AUc","","","STORY: Create Spring Boot config-server project","Story","Story","Done","Done","Sprint 0 - Platform Foundation and Local SIT","","Establishes a shared platform, CI, governance, configuration, or local-SIT prerequisite required for the Sprint 0 reproducible platform outcome."
"PVTI_lADOEWKGsc4BaNxzzgv7AZM","","","STORY: Enable Spring Cloud Config Server with native local config","Story","Story","Done","Done","Sprint 0 - Platform Foundation and Local SIT","","Establishes a shared platform, CI, governance, configuration, or local-SIT prerequisite required for the Sprint 0 reproducible platform outcome."
"PVTI_lADOEWKGsc4BaNxzzgv7AdE","https://github.com/digital-bank-java/config-server/issues/3","https://github.com/digital-bank-java/config-server","TASK: Add actuator health and config retrieval test","Task","Task","Done","Done","Sprint 0 - Platform Foundation and Local SIT","","Establishes a shared platform, CI, governance, configuration, or local-SIT prerequisite required for the Sprint 0 reproducible platform outcome."
"PVTI_lADOEWKGsc4BaNxzzgv7Ags","https://github.com/digital-bank-java/config-server/issues/4","https://github.com/digital-bank-java/config-server","TASK: Add Dockerfile, Kubernetes manifest, Helm chart, and CI for config-server","Task","Task","Done","Done","Sprint 0 - Platform Foundation and Local SIT","","Establishes a shared platform, CI, governance, configuration, or local-SIT prerequisite required for the Sprint 0 reproducible platform outcome."
"PVTI_lADOEWKGsc4BaNxzzgv7Ajc","https://github.com/digital-bank-java/config-server/issues/5","https://github.com/digital-bank-java/config-server","TASK: Add Insomnia requests for config-server health and config lookup","Task","Task","Done","Done","Sprint 0 - Platform Foundation and Local SIT","","Establishes a shared platform, CI, governance, configuration, or local-SIT prerequisite required for the Sprint 0 reproducible platform outcome."
"PVTI_lADOEWKGsc4BaNxzzgv7Aqk","","","STORY: Add Insomnia gateway and service-routing health requests","Story","Story","Backlog","Backlog","Sprint 0 - Platform Foundation and Local SIT","","Establishes a shared platform, CI, governance, configuration, or local-SIT prerequisite required for the Sprint 0 reproducible platform outcome."
"PVTI_lADOEWKGsc4BaNxzzgv7AtA","","","STORY: Create auth-service with login and logout","Story","Story","Backlog","Backlog","Sprint 4 - Secure Customer Access and Step-Up Authorization","","Delivers identity, session, MFA, authorization, or high-risk step-up controls required for Sprint 4 secure customer access."
"PVTI_lADOEWKGsc4BaNxzzgv7Avc","","","STORY: Issue JWT with session ID and active session state","Story","Story","Backlog","Backlog","Sprint 4 - Secure Customer Access and Step-Up Authorization","","Delivers identity, session, MFA, authorization, or high-risk step-up controls required for Sprint 4 secure customer access."
"PVTI_lADOEWKGsc4BaNxzzgv7AzA","","","STORY: Enforce configurable single-session policy","Story","Story","Backlog","Backlog","Sprint 4 - Secure Customer Access and Step-Up Authorization","","Delivers identity, session, MFA, authorization, or high-risk step-up controls required for Sprint 4 secure customer access."
"PVTI_lADOEWKGsc4BaNxzzgv7A2A","","","STORY: Add Insomnia auth and session workflow","Story","Story","Backlog","Backlog","Sprint 4 - Secure Customer Access and Step-Up Authorization","","Delivers identity, session, MFA, authorization, or high-risk step-up controls required for Sprint 4 secure customer access."
"PVTI_lADOEWKGsc4BaNxzzgv7A5k","","","STORY: Create reusable mfa-service","Story","Story","Backlog","Backlog","Sprint 4 - Secure Customer Access and Step-Up Authorization","","Delivers identity, session, MFA, authorization, or high-risk step-up controls required for Sprint 4 secure customer access."
"PVTI_lADOEWKGsc4BaNxzzgv7A8U","","","STORY: Implement TOTP enrollment and verification","Story","Story","Backlog","Backlog","Sprint 4 - Secure Customer Access and Step-Up Authorization","","Delivers identity, session, MFA, authorization, or high-risk step-up controls required for Sprint 4 secure customer access."
"PVTI_lADOEWKGsc4BaNxzzgv7A_Q","","","STORY: Implement MFA challenge create and verify with expiry and attempts","Story","Story","Backlog","Backlog","Sprint 4 - Secure Customer Access and Step-Up Authorization","","Delivers identity, session, MFA, authorization, or high-risk step-up controls required for Sprint 4 secure customer access."
"PVTI_lADOEWKGsc4BaNxzzgv7BCo","","","STORY: Add Insomnia MFA workflow","Story","Story","Backlog","Backlog","Sprint 4 - Secure Customer Access and Step-Up Authorization","","Delivers identity, session, MFA, authorization, or high-risk step-up controls required for Sprint 4 secure customer access."
"PVTI_lADOEWKGsc4BaNxzzgv7BJM","","","STORY: Implement internal transfer with account reservation and ledger posting","Story","Story","Backlog","Backlog","Sprint 3 - Internal Transfers and Event Consistency","","Delivers internal-transfer orchestration, Kafka contract/event flow, account reservation completion, or transfer verification required for Sprint 3 consistency."
"PVTI_lADOEWKGsc4BaNxzzgv7BOo","","","STORY: Add Insomnia internal transfer workflow","Story","Story","Backlog","Backlog","Sprint 3 - Internal Transfers and Event Consistency","","Delivers internal-transfer orchestration, Kafka contract/event flow, account reservation completion, or transfer verification required for Sprint 3 consistency."
"PVTI_lADOEWKGsc4BaNxzzgv7BSU","","","STORY: Define transfer risk policy and step-up annotation","Story","Story","Backlog","Backlog","Sprint 4 - Secure Customer Access and Step-Up Authorization","","Delivers identity, session, MFA, authorization, or high-risk step-up controls required for Sprint 4 secure customer access."
"PVTI_lADOEWKGsc4BaNxzzgv7BUc","","","STORY: Require MFA for high-value internal, domestic, and international transfers","Story","Story","Backlog","Backlog","Sprint 4 - Secure Customer Access and Step-Up Authorization","","Delivers identity, session, MFA, authorization, or high-risk step-up controls required for Sprint 4 secure customer access."
"PVTI_lADOEWKGsc4BaNxzzgv7BWs","","","STORY: Add tests for MFA-required and MFA-not-required flows","Story","Story","Backlog","Backlog","Sprint 4 - Secure Customer Access and Step-Up Authorization","","Delivers identity, session, MFA, authorization, or high-risk step-up controls required for Sprint 4 secure customer access."
"PVTI_lADOEWKGsc4BaNxzzgv7BZY","","","STORY: Add Insomnia step-up transfer workflow","Story","Story","Backlog","Backlog","Sprint 4 - Secure Customer Access and Step-Up Authorization","","Delivers identity, session, MFA, authorization, or high-risk step-up controls required for Sprint 4 secure customer access."
"PVTI_lADOEWKGsc4BaNxzzgv7Bck","","","STORY: Add Kafka transfer-created event","Story","Story","Backlog","Backlog","Sprint 3 - Internal Transfers and Event Consistency","","Delivers internal-transfer orchestration, Kafka contract/event flow, account reservation completion, or transfer verification required for Sprint 3 consistency."
"PVTI_lADOEWKGsc4BaNxzzgv7Bes","","","STORY: Consume transfer event in notification-service","Story","Story","Backlog","Backlog","Sprint 5 - Payment Rails and Notifications","","Delivers payment-service or notification-consumption capability required for Sprint 5 payment rails and customer notifications."
"PVTI_lADOEWKGsc4BaNxzzgv7BhQ","","","STORY: Define versioned Kafka event schemas","Story","Story","Backlog","Backlog","Sprint 3 - Internal Transfers and Event Consistency","","Delivers internal-transfer orchestration, Kafka contract/event flow, account reservation completion, or transfer verification required for Sprint 3 consistency."
"PVTI_lADOEWKGsc4BaNxzzgv7Bj4","","","STORY: Add Insomnia transfer notification verification request","Story","Story","Backlog","Backlog","Sprint 5 - Payment Rails and Notifications","","Delivers payment-service or notification-consumption capability required for Sprint 5 payment rails and customer notifications."
"PVTI_lADOEWKGsc4BaNxzzgv7BnM","","","STORY: Add Docker Compose for LOCAL-DEV dependencies","Story","Story","Backlog","Backlog","Sprint 0 - Platform Foundation and Local SIT","","Establishes a shared platform, CI, governance, configuration, or local-SIT prerequisite required for the Sprint 0 reproducible platform outcome."
"PVTI_lADOEWKGsc4BaNxzzgv7BqI","","","STORY: Add structured logging, correlation IDs, and Zipkin tracing","Story","Story","Backlog","Backlog","Sprint 6 - Operational Resilience and Observability","","Delivers centralized observability, logging, resilience, throttling, operational visibility, or operational governance required for Sprint 6."
"PVTI_lADOEWKGsc4BaNxzzgv7DLk","","","STORY: Add Resilience4j circuit breaker and retry example","Story","Story","Backlog","Backlog","Sprint 6 - Operational Resilience and Observability","","Delivers centralized observability, logging, resilience, throttling, operational visibility, or operational governance required for Sprint 6."
"PVTI_lADOEWKGsc4BaNxzzgv7DOU","","","STORY: Add Kubernetes and Helm deployment polish","Story","Story","Backlog","Backlog","Sprint 0 - Platform Foundation and Local SIT","","Ambiguous deployment work: this polish also supports later operations, but its Helm and Kubernetes baseline is required for Sprint 0 local SIT."
"PVTI_lADOEWKGsc4BaNxzzgv7DRg","","","STORY: Write platform README and architecture diagram","Story","Story","Backlog","Backlog","Sprint 0 - Platform Foundation and Local SIT","","Establishes a shared platform, CI, governance, configuration, or local-SIT prerequisite required for the Sprint 0 reproducible platform outcome."
"PVTI_lADOEWKGsc4BaNxzzgv7DUg","","","STORY: Document session, MFA, step-up, and transfer rail design","Story","Story","Backlog","Backlog","Sprint 4 - Secure Customer Access and Step-Up Authorization","","Ambiguous cross-domain documentation spanning sessions, MFA, step-up, and transfers; assign to Sprint 4 because secure access and high-risk authorization are its primary controls."
"PVTI_lADOEWKGsc4BaNxzzgv7DXQ","","","STORY: Document AWS migration path","Story","Story","Backlog","Backlog","Sprint 7 - AWS UAT and Production Readiness","","Delivers AWS UAT/production documentation, hosted-service architecture, environment validation, or release hardening required for Sprint 7."
"PVTI_lADOEWKGsc4BaNxzzgv7DZc","","","STORY: Export final Insomnia collection and usage guide","Story","Story","Backlog","Backlog","Sprint 7 - AWS UAT and Production Readiness","","Delivers AWS UAT/production documentation, hosted-service architecture, environment validation, or release hardening required for Sprint 7."
"PVTI_lADOEWKGsc4BaNxzzgv7UuM","","","STORY: Promote service backlog drafts to repository issues and milestones","Story","Story","Ready","Ready","Sprint 0 - Platform Foundation and Local SIT","","Establishes a shared platform, CI, governance, configuration, or local-SIT prerequisite required for the Sprint 0 reproducible platform outcome."
"PVTI_lADOEWKGsc4BaNxzzgv-acA","https://github.com/digital-bank-java/config-server/issues/6","https://github.com/digital-bank-java/config-server","STORY: Create platform-config repository and migrate Config Server to Git-backed configuration","Story","Story","Done","Done","Sprint 0 - Platform Foundation and Local SIT","","Establishes a shared platform, CI, governance, configuration, or local-SIT prerequisite required for the Sprint 0 reproducible platform outcome."
"PVTI_lADOEWKGsc4BaNxzzgv-jiQ","https://github.com/digital-bank-java/config-server/issues/7","https://github.com/digital-bank-java/config-server","TASK: Update config-server README with setup and verification guidance","Task","Task","Done","Done","Sprint 0 - Platform Foundation and Local SIT","","Establishes a shared platform, CI, governance, configuration, or local-SIT prerequisite required for the Sprint 0 reproducible platform outcome."
"PVTI_lADOEWKGsc4BaNxzzgv-jis","","","TASK: Define README standard and apply it across service repositories","Task","Task","Backlog","Backlog","Sprint 0 - Platform Foundation and Local SIT","","Establishes a shared platform, CI, governance, configuration, or local-SIT prerequisite required for the Sprint 0 reproducible platform outcome."
"PVTI_lADOEWKGsc4BaNxzzgwGphk","https://github.com/digital-bank-java/config-server/issues/8","https://github.com/digital-bank-java/config-server","STORY: Harden and operationalize Config Server","Story","Story","Done","Done","Sprint 0 - Platform Foundation and Local SIT","","Establishes a shared platform, CI, governance, configuration, or local-SIT prerequisite required for the Sprint 0 reproducible platform outcome."
"PVTI_lADOEWKGsc4BaNxzzgwGpis","https://github.com/digital-bank-java/config-server/issues/9","https://github.com/digital-bank-java/config-server","TASK: Create platform-config repository","Task","Task","Done","Done","Sprint 0 - Platform Foundation and Local SIT","","Establishes a shared platform, CI, governance, configuration, or local-SIT prerequisite required for the Sprint 0 reproducible platform outcome."
"PVTI_lADOEWKGsc4BaNxzzgwGpjk","https://github.com/digital-bank-java/config-server/issues/10","https://github.com/digital-bank-java/config-server","TASK: Migrate Config Server to Git-backed configuration","Task","Task","Done","Done","Sprint 0 - Platform Foundation and Local SIT","","Establishes a shared platform, CI, governance, configuration, or local-SIT prerequisite required for the Sprint 0 reproducible platform outcome."
"PVTI_lADOEWKGsc4BaNxzzgwSgSI","","","STORY: Standardize organization engineering workflows","Story","Story","Ready","Ready","Sprint 0 - Platform Foundation and Local SIT","","Establishes a shared platform, CI, governance, configuration, or local-SIT prerequisite required for the Sprint 0 reproducible platform outcome."
"PVTI_lADOEWKGsc4BaNxzzgwSgSY","","","TASK: Create and secure the organization .github repository","Task","Task","Backlog","Backlog","Sprint 0 - Platform Foundation and Local SIT","Story: Standardize organization engineering workflows","Establishes a shared platform, CI, governance, configuration, or local-SIT prerequisite required for the Sprint 0 reproducible platform outcome."
"PVTI_lADOEWKGsc4BaNxzzgwSgS8","","","TASK: Add reusable Java CI workflow","Task","Task","Backlog","Backlog","Sprint 0 - Platform Foundation and Local SIT","Story: Standardize organization engineering workflows","Establishes a shared platform, CI, governance, configuration, or local-SIT prerequisite required for the Sprint 0 reproducible platform outcome."
"PVTI_lADOEWKGsc4BaNxzzgwSgT8","","","TASK: Automate project status from pull request lifecycle","Task","Task","Backlog","Backlog","Sprint 0 - Platform Foundation and Local SIT","Story: Standardize organization engineering workflows","Establishes a shared platform, CI, governance, configuration, or local-SIT prerequisite required for the Sprint 0 reproducible platform outcome."
"PVTI_lADOEWKGsc4BaNxzzgwSgUw","","","TASK: Add organization contribution and review templates","Task","Task","Backlog","Backlog","Sprint 0 - Platform Foundation and Local SIT","Story: Standardize organization engineering workflows","Establishes a shared platform, CI, governance, configuration, or local-SIT prerequisite required for the Sprint 0 reproducible platform outcome."
"PVTI_lADOEWKGsc4BaNxzzgwSgVY","","","TASK: Add workflow templates for new Java services","Task","Task","Backlog","Backlog","Sprint 0 - Platform Foundation and Local SIT","Story: Standardize organization engineering workflows","Establishes a shared platform, CI, governance, configuration, or local-SIT prerequisite required for the Sprint 0 reproducible platform outcome."
"PVTI_lADOEWKGsc4BaNxzzgwSlJ8","","","TASK: Define Insomnia environment hierarchy and shared variables","Task","Task","Done","Done","Sprint 0 - Platform Foundation and Local SIT","Story: Create Insomnia workspace with LOCAL-DEV, SIT, UAT, and PROD environments","Establishes a shared platform, CI, governance, configuration, or local-SIT prerequisite required for the Sprint 0 reproducible platform outcome."
"PVTI_lADOEWKGsc4BaNxzzgwSlKo","","","TASK: Configure and validate deployed Insomnia environment endpoints","Task","Task","Backlog","Backlog","Sprint 7 - AWS UAT and Production Readiness","Story: Create Insomnia workspace with LOCAL-DEV, SIT, UAT, and PROD environments","Ambiguous environment task: it begins from Sprint 0 Insomnia setup but validates UAT and PROD endpoints; assign to Sprint 7 for final hosted-environment readiness."
"PVTI_lADOEWKGsc4BaNxzzgwSywY","","","STORY: Establish API contract and documentation standards","Story","Story","Ready","Ready","Sprint 1 - Customer and Account Foundation","","Cross-service API standard; best fit is Sprint 1 because customer and account APIs are the first required documented gateway capabilities."
"PVTI_lADOEWKGsc4BaNxzzgwSy1g","","","TASK: Add OpenAPI and Swagger UI standard for Spring services","Task","Task","Backlog","Backlog","Sprint 1 - Customer and Account Foundation","Story: Establish API contract and documentation standards","Delivers customer or account lifecycle capability, API contract, admin-query support, persistence, or SIT evidence required for the Sprint 1 foundation."
"PVTI_lADOEWKGsc4BaNxzzgwSy18","","","TASK: Aggregate service OpenAPI definitions through API Gateway","Task","Task","Backlog","Backlog","Sprint 1 - Customer and Account Foundation","Story: Establish API contract and documentation standards","Delivers customer or account lifecycle capability, API contract, admin-query support, persistence, or SIT evidence required for the Sprint 1 foundation."
"PVTI_lADOEWKGsc4BaNxzzgwSy2g","","","TASK: Add OpenAPI validation and breaking-change detection to CI","Task","Task","Backlog","Backlog","Sprint 1 - Customer and Account Foundation","Story: Establish API contract and documentation standards","Delivers customer or account lifecycle capability, API contract, admin-query support, persistence, or SIT evidence required for the Sprint 1 foundation."
"PVTI_lADOEWKGsc4BaNxzzgwSy3E","","","TASK: Define API documentation access policy by environment","Task","Task","Ready","Ready","Sprint 4 - Secure Customer Access and Step-Up Authorization","Story: Establish API contract and documentation standards","Documentation-access policy spans environments; assign to Sprint 4 because authenticated, allowlisted, and restricted API documentation is a security control."
"PVTI_lADOEWKGsc4BaNxzzgwSy3k","","","TASK: Document Kafka contracts using AsyncAPI and Schema Registry","Task","Task","Backlog","Backlog","Sprint 3 - Internal Transfers and Event Consistency","Story: Establish API contract and documentation standards","Delivers internal-transfer orchestration, Kafka contract/event flow, account reservation completion, or transfer verification required for Sprint 3 consistency."
"PVTI_lADOEWKGsc4BaNxzzgwSy4E","","","TASK: Evaluate centralized API catalog after core services are operational","Task","Task","Backlog","Backlog","Sprint 6 - Operational Resilience and Observability","Story: Establish API contract and documentation standards","Deferred API-catalog evaluation is an operational governance decision after core services run; assign to Sprint 6 rather than introducing a new product capability."
"PVTI_lADOEWKGsc4BaNxzzgwTKho","","","STORY: Establish Java testing and debugging workflow","Story","Story","Backlog","Backlog","Sprint 0 - Platform Foundation and Local SIT","","Establishes a shared platform, CI, governance, configuration, or local-SIT prerequisite required for the Sprint 0 reproducible platform outcome."
"PVTI_lADOEWKGsc4BaNxzzgwTKiM","","","TASK: Debug a focused Spring Boot integration test in Eclipse","Task","Task","Done","Done","Sprint 0 - Platform Foundation and Local SIT","STORY: Establish Java testing and debugging workflow","Establishes a shared platform, CI, governance, configuration, or local-SIT prerequisite required for the Sprint 0 reproducible platform outcome."
"PVTI_lADOEWKGsc4BaNxzzgwTKi4","","","TASK: Debug an HTTP request through Spring Boot application layers","Task","Task","Backlog","Backlog","Sprint 1 - Customer and Account Foundation","STORY: Establish Java testing and debugging workflow","Delivers customer or account lifecycle capability, API contract, admin-query support, persistence, or SIT evidence required for the Sprint 1 foundation."
"PVTI_lADOEWKGsc4BaNxzzgwU370","","","STORY: Implement centralized logging with OpenSearch","Story","Story","Backlog","Backlog","Sprint 6 - Operational Resilience and Observability","","Delivers centralized observability, logging, resilience, throttling, operational visibility, or operational governance required for Sprint 6."
"PVTI_lADOEWKGsc4BaNxzzgwU38E","","","TASK: Define structured logging and redaction contract","Task","Task","Backlog","Backlog","Sprint 6 - Operational Resilience and Observability","STORY: Implement centralized logging with OpenSearch","Delivers centralized observability, logging, resilience, throttling, operational visibility, or operational governance required for Sprint 6."
"PVTI_lADOEWKGsc4BaNxzzgwU38c","","","TASK: Deploy OpenSearch and OpenSearch Dashboards in SIT","Task","Task","Backlog","Backlog","Sprint 6 - Operational Resilience and Observability","STORY: Implement centralized logging with OpenSearch","Delivers centralized observability, logging, resilience, throttling, operational visibility, or operational governance required for Sprint 6."
"PVTI_lADOEWKGsc4BaNxzzgwU38s","","","TASK: Collect Kubernetes logs with Fluent Bit","Task","Task","Backlog","Backlog","Sprint 6 - Operational Resilience and Observability","STORY: Implement centralized logging with OpenSearch","Delivers centralized observability, logging, resilience, throttling, operational visibility, or operational governance required for Sprint 6."
"PVTI_lADOEWKGsc4BaNxzzgwU39E","","","TASK: Create OpenSearch dashboards and operational alerts","Task","Task","Backlog","Backlog","Sprint 6 - Operational Resilience and Observability","STORY: Implement centralized logging with OpenSearch","Delivers centralized observability, logging, resilience, throttling, operational visibility, or operational governance required for Sprint 6."
"PVTI_lADOEWKGsc4BaNxzzgwU39g","","","TASK: Define OpenSearch retention, access control, and audit boundaries","Task","Task","Backlog","Backlog","Sprint 6 - Operational Resilience and Observability","STORY: Implement centralized logging with OpenSearch","Delivers centralized observability, logging, resilience, throttling, operational visibility, or operational governance required for Sprint 6."
"PVTI_lADOEWKGsc4BaNxzzgwU394","","","TASK: Define Amazon OpenSearch architecture for UAT and PROD","Task","Task","Backlog","Backlog","Sprint 7 - AWS UAT and Production Readiness","STORY: Implement centralized logging with OpenSearch","Amazon OpenSearch UAT/PROD architecture is hosted-environment design; assign to Sprint 7, while local OpenSearch implementation remains Sprint 6."
"PVTI_lADOEWKGsc4BaNxzzgwW5wM","https://github.com/digital-bank-java/config-server/issues/14","https://github.com/digital-bank-java/config-server","TASK: Add CODEOWNERS governance to service repositories","Task","Task","Backlog","Backlog","Sprint 0 - Platform Foundation and Local SIT","","Potential overlap with organization .github security and contribution-template tasks; retain as distinct repository CODEOWNERS governance in Sprint 0."
"PVTI_lADOEWKGsc4BaNxzzgwZB0s","","","STORY: Bootstrap payment-service","Story","Story","Backlog","Backlog","Sprint 5 - Payment Rails and Notifications","","Delivers payment-service or notification-consumption capability required for Sprint 5 payment rails and customer notifications."
"PVTI_lADOEWKGsc4BaNxzzgwZRsE","https://github.com/digital-bank-java/customer-service/issues/1","https://github.com/digital-bank-java/customer-service","STORY: Bootstrap customer-service","Story","Story","Done","Done","Sprint 1 - Customer and Account Foundation","","Delivers customer or account lifecycle capability, API contract, admin-query support, persistence, or SIT evidence required for the Sprint 1 foundation."
"PVTI_lADOEWKGsc4BaNxzzgwhzLY","https://github.com/digital-bank-java/customer-service/issues/4","https://github.com/digital-bank-java/customer-service","STORY: Implement customer registration and profile management","Story","Story","Done","Done","Sprint 1 - Customer and Account Foundation","","Delivers customer or account lifecycle capability, API contract, admin-query support, persistence, or SIT evidence required for the Sprint 1 foundation."
"PVTI_lADOEWKGsc4BaNxzzgwhzLs","https://github.com/digital-bank-java/customer-service/issues/5","https://github.com/digital-bank-java/customer-service","TASK: Establish PostgreSQL persistence foundation","Task","Task","Done","Done","Sprint 1 - Customer and Account Foundation","","Delivers customer or account lifecycle capability, API contract, admin-query support, persistence, or SIT evidence required for the Sprint 1 foundation."
"PVTI_lADOEWKGsc4BaNxzzgwhzLw","https://github.com/digital-bank-java/customer-service/issues/6","https://github.com/digital-bank-java/customer-service","TASK: Implement customer aggregate and registration use case","Task","Task","Done","Done","Sprint 1 - Customer and Account Foundation","","Delivers customer or account lifecycle capability, API contract, admin-query support, persistence, or SIT evidence required for the Sprint 1 foundation."
"PVTI_lADOEWKGsc4BaNxzzgwhzL0","https://github.com/digital-bank-java/customer-service/issues/7","https://github.com/digital-bank-java/customer-service","TASK: Expose customer registration and profile APIs","Task","Task","Done","Done","Sprint 1 - Customer and Account Foundation","","Delivers customer or account lifecycle capability, API contract, admin-query support, persistence, or SIT evidence required for the Sprint 1 foundation."
"PVTI_lADOEWKGsc4BaNxzzgwhzL4","https://github.com/digital-bank-java/customer-service/issues/8","https://github.com/digital-bank-java/customer-service","TASK: Add customer API integration tests and Insomnia requests","Task","Task","Done","Done","Sprint 1 - Customer and Account Foundation","","Delivers customer or account lifecycle capability, API contract, admin-query support, persistence, or SIT evidence required for the Sprint 1 foundation."
"PVTI_lADOEWKGsc4BaNxzzgwhzL8","https://github.com/digital-bank-java/customer-service/issues/9","https://github.com/digital-bank-java/customer-service","TASK: Connect customer-service to shared local PostgreSQL in SIT","Task","Task","Done","Done","Sprint 1 - Customer and Account Foundation","","Delivers customer or account lifecycle capability, API contract, admin-query support, persistence, or SIT evidence required for the Sprint 1 foundation."
"PVTI_lADOEWKGsc4BaNxzzgwtEco","https://github.com/digital-bank-java/.github/issues/1","https://github.com/digital-bank-java/.github","STORY: Establish Java service quality gates and SonarQube strategy","Story","Story","Ready","Ready","Sprint 0 - Platform Foundation and Local SIT","","Establishes a shared platform, CI, governance, configuration, or local-SIT prerequisite required for the Sprint 0 reproducible platform outcome."
